,XY,onlyX,onlyY
2,363129906.52537197,94095987.35960579,190028454.7275672
3,302733970.82218146,65307753.55018799,129706929.21879391
4,246268591.94515532,55037194.05764084,105087806.22444727
5,220068675.48914638,47595735.39266586,90060821.38836628
6,201260430.48314533,43758907.90291654,82931113.83292139
7,187145516.13247147,41858503.33271083,77486671.04379949
8,174864972.8743389,40614447.46866288,73678209.00578266
9,164175929.3898936,38369140.134444386,70358885.21332633
10,159382204.6953997,37715209.88576756,67890858.04352035
11,152997365.1230587,36863006.34705094,66142931.65631036
12,146772818.32488889,36309459.61809883,64209415.59582558
13,142347449.81536606,35433663.50272254,61634605.062738866
14,139865757.61025637,35037989.07264785,60132519.73347276
15,134960281.54544297,34442450.86703924,60017130.865428284
16,132333614.64437951,34047334.80948972,57458725.87087086
17,128099964.19910741,33404518.30142037,56393829.961415164
18,127693806.39245778,33462437.642887376,55713279.822055794
19,121674979.74015635,32677084.255140334,53506994.62239235
20,121639461.40095289,32672679.602292977,54405423.013190195
